Area (sq. ft.),Labor Cost (₹),Material Type,Pipes (₹),Lights (₹),Fans (₹),Steel (₹),Bricks (₹),Total Cost (₹)
1881,43465,1,16109,14313,7452,97627,45159,3299971
869,35920,1,9416,2529,7771,181383,83325,2129622
4294,71568,0,13989,2931,5859,62952,91128,5450813
2990,85075,0,14970,9813,4389,189258,42949,4314725
1676,35468,1,7926,5786,7217,141776,60305,2685808
875,110661,1,18593,11981,7746,70681,29696,1539259
3260,109613,1,10239,7035,3447,90309,48645,5673469
3790,57217,0,19398,11767,9292,96753,85971,4959431
2443,70464,0,16949,5101,7483,58976,41839,3879211
1457,73307,0,10662,11502,8464,95696,64023,2303802
1310,98275,0,10862,3465,5536,181533,47386,2501326
2033,83975,0,16432,5510,9690,167140,28351,2835963
4930,109381,1,5651,8307,7898,89754,31649,8009545
909,100596,1,14488,6430,9178,81674,72033,1966391
553,86192,0,19993,12653,8286,155299,22195,1240822
1598,87554,1,15945,11775,9944,82703,72186,3311285
2896,120397,1,17656,2589,4100,123333,89205,6122320
1474,40662,1,5471,7462,4400,159686,91142,3141573
4988,104221,1,13027,9952,8863,51625,90143,10045598
3394,47401,1,9851,4330,5354,128146,92367,3840874
3779,33490,0,6318,11662,3293,196213,75506,6482213
2724,147572,1,18385,5469,4577,118645,65702,3913634
3058,98350,0,9974,11113,7268,153707,39195,5851514
4190,72949,0,18216,2170,7058,146061,63809,7932032
638,142984,1,14175,6298,8282,72195,65160,1077570
3673,133218,1,9743,7760,8544,126143,28791,6274673
3020,106094,1,7650,6375,6433,188310,86858,6091383
2741,109189,1,8609,2403,6244,115750,76852,4770147
4327,139946,0,14803,5527,3303,179943,42027,6553860
1837,56232,1,15786,11223,4846,104129,28223,2298483
4589,82216,0,12992,11597,5951,89163,93390,8235525
3352,122854,0,5206,4065,7761,102273,21392,3865748
2794,145277,1,9884,9669,4761,102954,57312,4894429
3177,71594,0,8236,11337,8756,189173,93539,6474935
572,124152,0,5123,13757,5930,114324,25904,1100921
3378,120319,0,19045,3902,5716,76567,23934,6229100
2641,48617,1,11020,11955,9966,56127,98182,5089167
2306,55552,0,9368,6690,8825,165376,76167,2651824
2545,56640,1,13665,7516,4349,133318,27328,5216338
4002,47697,0,5353,6584,6375,196662,71391,5091559
4001,120089,0,7144,8331,8894,84677,20475,5381686
2776,42541,1,19417,7273,4610,133764,97961,5598836
2577,47354,0,13728,2123,3122,199499,71710,4683881
2148,67474,1,6084,9476,8199,64213,63976,3266172
834,134893,0,6117,10798,6717,104109,94201,1264126
4772,79057,0,16219,14409,9564,54740,77840,6866931
3371,127251,1,19700,4921,6464,127922,77453,7092216
3115,72439,0,5961,11286,8378,182798,20801,3742541
4672,39362,1,5757,4151,9260,117546,54265,8955468
1432,43171,0,12820,4713,5951,101422,37764,2103672
1135,98721,1,16128,9923,3167,196162,46078,2348108
3729,102800,0,6788,14960,3528,147397,50702,6410200
1690,144045,1,6319,3715,3381,166850,29509,2694064
511,55975,1,5681,11895,5789,85256,43087,846426
4502,91945,1,14043,5459,8483,192023,68554,5652488
1949,147063,0,17101,13675,6977,126150,36411,3399216
948,83596,1,11090,12691,6457,166715,90568,2318634
2996,111065,0,5749,8894,3244,109693,45835,6054081
926,69218,1,13088,3889,4948,58673,57351,1338242
1415,46582,1,17457,6656,7165,99413,96727,3027448
3669,131552,1,14054,3895,8938,155042,84464,5024791
4821,31147,0,7346,4927,8872,104170,66457,9430407
946,84428,1,5707,4693,4352,108550,22010,1993275
2410,135054,0,8967,7252,8503,192797,39515,5118733
4235,127565,1,18144,6241,4729,173553,40704,6576656
2750,100242,1,7715,7250,7920,61423,97875,5144284
3181,125128,1,14111,13617,7264,186754,93316,6060099
1901,126110,0,18922,13897,8351,116669,28923,3157094
3907,34035,1,16048,4561,4117,148383,79351,8100939
1543,79008,0,14532,3826,4983,88800,42951,2153070
3518,56858,1,12035,5506,5691,169190,38473,7375253
891,105453,0,12812,6931,3458,112637,58308,1914196
1785,55893,0,13032,9202,3518,72534,61939,3100851
4609,124992,1,14866,14615,4617,56268,66486,5339222
2934,127097,1,13455,4475,7231,88419,81762,4117409
1141,99504,0,16924,13036,4885,195346,24420,2455017
1545,106817,0,5479,14195,5638,62102,73869,2938097
4820,67822,0,18247,8477,4465,159150,86116,9804454
4537,76253,1,18572,7417,5569,106113,46873,6698020
3547,146114,0,18857,5184,4133,197714,78854,7170484
1657,57004,1,11664,13357,3762,70341,69337,3410510
3749,146529,1,16045,6721,3193,81167,21766,7746458
4127,119207,0,12210,13782,6689,120189,72727,5596206
2043,67631,0,6119,12636,5930,88736,44406,3278787
1291,44431,0,14609,14821,9862,69891,65486,1614623
936,140389,0,9619,6152,3947,163700,37800,1850705
4014,36174,0,16618,5244,4249,139724,82275,7237825
4960,114064,0,18286,2693,7016,165771,74557,6522924
4459,56069,0,13593,5073,5370,189695,91518,5576797
4864,129008,1,6494,8599,8379,93421,23644,8344222
2216,105496,0,7699,5540,5648,125360,86970,3423884
4136,129373,0,8850,14405,5116,149114,61276,6268403
3864,140370,0,8937,3619,6380,121817,76311,6041842
4673,56859,1,11426,5914,9070,127126,49048,7422562
688,70496,1,9628,5873,6991,159519,79688,1254716
3218,118400,0,13137,13844,4874,115095,35561,5378071
2905,101964,1,19604,2564,6039,74526,66679,3477102
4430,104496,0,11905,14221,8502,128658,51187,5251821
3665,77798,0,16950,10687,5532,184369,84079,6652166
1402,77642,0,8148,12077,8678,57406,36315,2627737
840,74683,1,12912,10992,4818,123901,81429,1472444
3381,38451,1,19143,14100,8777,104644,89355,4379927
1143,118566,1,13901,2640,8080,81912,54992,1584804
520,135039,1,16618,2162,6890,96083,21769,1116381
3572,92643,1,18566,6346,5491,109903,22961,5746218
1177,82095,1,10787,9704,6000,163776,80125,2688150
1599,78394,0,6939,10835,6704,150868,24580,1881253
3150,121699,1,14171,6424,3578,100808,81188,4856330
3969,127277,0,13616,12357,8633,144650,28842,5968504
4683,120195,1,10123,6464,7490,59104,87442,9225550
2564,116425,0,9179,12987,5029,151171,35883,3397319
3900,35275,0,19549,11330,5804,58761,50512,4339361
3371,148249,1,5791,5708,8220,77304,78651,5081330
2930,52855,0,19315,14482,3140,154941,49913,5018736
3187,142577,1,9752,8749,4191,189854,73440,6450469
1916,138135,0,16140,2137,7619,196504,76224,2868206
4905,114313,0,9152,11875,9630,82363,83918,6448933
991,52624,1,18465,9106,6626,171133,85551,1757547
1259,147372,0,6635,9242,7167,102741,25391,1706403
4001,48614,0,16975,6251,6400,183526,67987,8240591
500,139894,0,14160,3058,6587,101319,92562,1127888
2588,90981,1,9496,6614,3675,82128,50177,3635584
4156,88157,0,5951,6277,5079,74060,31347,5870250
711,50131,0,11079,12208,9328,110104,53933,1573477
4222,96431,1,5521,10361,4163,158437,22749,7464126
4017,71620,0,11065,12736,9033,149520,96225,6589426
2465,149728,0,18947,7413,9638,81610,75698,4594684
803,41041,1,6974,7842,7775,174431,60636,1808624
4272,106153,0,11413,5903,3941,116457,74209,5419744
2281,96646,0,6882,9224,3422,146987,60210,2966319
3725,148433,1,18850,11579,7670,197972,72603,7883051
2572,69591,1,17804,5051,8852,135871,82768,3469623
1307,104886,1,19747,5666,7335,165677,72207,2389961
4620,97673,0,10461,4760,4334,186448,61680,9525802
2276,61207,0,11283,5835,7903,123873,78936,3514612
3690,43107,0,10097,13141,4948,135578,22727,5819390
4542,31840,0,11407,3360,6290,155227,74043,8450334
4703,146598,0,9544,12241,6466,101361,40936,6621016
1853,58240,0,12394,10614,9496,144799,41713,2928961
679,139406,0,8131,5973,3240,89925,22775,1173995
1380,63510,0,16343,4829,6878,101956,77887,2048010
2330,33160,0,10174,2145,6281,193213,26585,3700894
4502,146004,0,9095,4373,3683,198733,58219,8280082
3300,67309,1,15845,14875,9675,157497,96513,6623764
4763,86718,0,15666,2229,7059,80505,95417,7289753
722,70449,1,16816,12133,9101,110338,90852,1363453
4873,92858,0,13713,12061,6167,68514,26230,9534733
2737,53391,1,9321,7388,9996,184497,24973,4045994
3078,115725,1,11259,6680,3356,192757,99438,5992679
2278,121152,1,18258,10049,5074,101327,62527,4401742
1120,44295,0,10459,4665,3293,164588,69337,1472385
1713,136412,0,10226,5593,3985,126572,89964,2390048
4554,146419,1,10638,14058,5401,110443,96670,7646373
4813,138151,0,11676,4829,7171,125503,41874,9318094
4763,86561,1,12931,5336,6747,143424,55680,8002868
3327,77036,0,11474,9816,8023,188583,62951,6155879
2740,143325,1,17388,3241,4254,114603,64239,5199338
1862,113487,1,18526,7048,7068,171931,31126,3231696
3338,113730,1,9651,5295,8821,124497,32582,5604534
3002,70642,1,13414,11576,8499,169039,39151,3628308
2740,133427,1,10329,5362,5089,85174,57676,5679043
592,89672,0,14941,3388,3414,118894,48812,1270333
1738,139512,0,12972,10297,5280,166772,51801,2393149
3970,110404,1,15990,7752,9981,120327,20914,5324070
3735,121606,0,7475,13842,6619,110892,63210,4076019
4701,45597,0,8136,3821,7170,80392,37103,6124319
3264,55180,1,16517,10476,3635,66750,71080,4621090
4104,136973,0,14073,2595,3893,119656,99158,7283952
3335,93576,0,11661,13075,6375,83437,92442,5225218
4401,119200,1,7341,14813,4273,118369,88982,8563046
3734,134156,0,5220,11254,5451,51670,58544,4324358
4128,67473,1,11570,13540,4554,141726,28156,7413604
2268,30141,1,7360,13078,3636,170093,96603,4673170
4009,143301,0,10834,8655,5525,121044,80201,6067660
3401,34655,1,10583,13269,9533,101616,30289,4682927
2041,81250,0,17869,10743,7919,151679,61026,3280888
2591,126463,1,8648,9877,7734,120019,29216,5036847
3150,139066,1,5251,7784,4489,90588,22180,6414338
2231,92971,1,11838,13651,7707,128834,59293,2791620
591,124138,1,10231,8884,6958,145849,68038,1367452
1230,68157,0,6787,14753,5811,181865,29814,2324030
4932,145974,0,5279,8049,6473,129379,71857,5385203
4314,55785,0,9389,13352,5345,86063,57886,5323724
1199,129111,0,10634,5605,5619,56769,69219,1550968
3514,37388,0,17466,11527,8375,111035,45448,4765596
2811,122240,0,15428,14589,7151,138000,24192,3709993
2516,82957,1,11311,9287,3258,50984,45049,4043635
3990,132808,0,7101,2695,7590,166800,80181,7001987
1477,63741,0,8649,5044,9186,152018,55613,3015206
4710,131242,0,14842,14746,3411,75368,85113,6468017
1758,126937,0,15555,3946,4160,165650,31008,2193870
4355,30085,0,19606,4722,3339,125239,79461,4634210
1797,119643,0,11869,11715,5321,157228,71934,3692369
2478,72756,0,10741,11875,6416,131826,65891,4953524
4629,109975,0,15422,3806,9905,113510,36969,5386082
2232,120571,1,16523,10141,8140,120718,72412,2703217
3442,110611,0,5023,10301,6052,188834,43727,6561061
3009,60395,1,18138,12439,9297,109918,30548,5277685
948,114428,0,12261,10983,5582,61726,48885,1729089
1737,80296,0,13447,10125,8001,125202,39966,2940210
832,111247,0,14429,4639,9644,132424,85670,1833821
4823,124000,0,8942,11178,3939,77984,63046,6526744
665,93927,0,16759,5883,8900,166379,42798,1258407
4527,83816,0,6063,5725,7276,140401,80489,5203202
3274,139756,0,13986,10264,8877,174559,20383,5495333
2199,77972,0,14678,6973,8815,87096,86148,4593506
1913,83797,1,7483,4764,5699,146906,41181,2845835
1946,117752,1,12716,12674,8626,53542,90257,4149886
3982,93716,1,10109,5989,7579,76008,33635,7212739
2187,108978,0,19027,13997,7098,163228,52689,3063511
946,67034,0,18192,2591,6725,61637,73160,1802399
3974,72313,0,6234,14402,3674,156492,59996,5742524
596,83282,1,17177,10216,6425,145431,20155,1051578
2926,88568,1,19458,8320,5791,194516,71440,3685396
3217,129495,0,16046,7398,7956,68753,49163,3551231
3757,79135,1,12626,12532,3157,58037,98575,7118428
1002,56108,1,15186,7339,9726,113229,37399,2227606
4883,122028,0,15525,11218,7981,167727,75122,7638835
4964,45870,1,7291,5899,3464,85151,93461,7886047
564,90661,1,13953,14602,5221,74754,93140,1346385
4757,104975,0,9238,11622,4721,79109,79347,8380233
1161,93828,1,6784,11760,7593,134435,73216,1964928
3989,35921,0,13511,8837,9968,144749,21338,4858300
980,124744,0,18686,9320,4439,140286,58254,1757537
3761,146713,1,8992,11304,8744,179054,47629,6884903
905,49895,0,9528,14390,6036,82818,95794,1891269
4060,59215,1,8650,3876,9383,125428,45263,4773814
3883,134045,1,17409,9670,4855,91943,91088,6616435
4167,62356,0,12402,2158,9345,93608,34536,4606828
1617,43461,1,18081,12800,3739,99310,92461,3320520
2937,136328,0,19764,2733,3321,176051,81085,5314692
3982,54256,1,7779,6454,5980,148420,28307,7107159
4209,148380,0,18037,4028,9797,93046,67098,7755458
3940,52883,0,8615,8843,9281,126123,69856,6168431
1241,78916,0,11346,2764,8223,198440,69476,1981097
3739,141336,0,6996,12729,5367,69621,51446,6964092
3421,60671,0,14488,2191,5984,114618,77349,6355682
2331,70927,0,16437,10435,6702,179866,37453,2967372
4638,141611,0,15477,9137,7884,75361,59977,9134458
1410,132932,0,13035,11125,6780,108962,65767,2060511
4512,69284,1,11109,14870,5824,182599,93916,6372346
1918,99019,1,19797,14122,7744,186514,53822,2813145
4809,40130,1,5109,3100,7497,174717,73198,9856307
4538,145703,1,5411,10924,4143,107264,87001,6357401
4139,101693,1,5070,6052,9212,159590,77632,8618884
3945,69126,1,8727,10972,9205,96361,80723,6836782
631,147271,1,5717,2793,4679,144413,39302,1186587
2556,100675,1,10476,7098,5168,116722,47935,4359695
652,47311,0,15662,13145,9659,92408,85077,1490498
2978,138007,1,15480,12972,5678,144341,83104,5150249
982,80889,1,16866,10282,6441,142743,39844,1509273
804,134883,1,11813,8711,4124,57655,81845,1433726
3019,43632,1,5718,12627,8351,194948,92670,4155639
1492,33038,0,12736,3641,6243,96574,24165,1856173
2737,37219,0,12735,5358,8837,76062,41310,3814303
3059,102036,1,13318,5856,6290,102103,42205,5452998
4938,48105,1,13617,13259,5672,172860,46407,7226753
1214,147454,0,12242,10627,5379,98814,64133,2091424
2209,59278,0,7325,12020,8367,130988,97544,3232859
1557,57995,0,15733,3916,4185,142669,98254,3428144
970,32825,1,7435,2046,8891,77932,92015,1859755
3965,53054,0,7818,10182,9122,153842,41815,7547176
1240,73694,0,19268,4354,6378,106111,20055,2017107
4066,71178,0,5535,2113,6969,61891,49696,4949061
1012,137017,0,16725,3081,3745,117010,41713,2188260
3893,46788,0,11451,6139,3415,192694,89801,7215338
3785,149826,0,12746,13494,5945,149327,60740,5425404
4337,43077,1,15526,9150,3569,87873,71906,7298134
2692,89198,1,10172,10585,7245,132317,35900,3329033
859,61013,0,15684,3589,5066,63338,24867,1055167
784,101694,0,14336,9713,7115,185085,45054,1786552
3816,116341,0,14913,6855,9499,166561,74922,7799488
3777,82849,1,8490,11629,9899,112082,45166,5446628
3131,67834,1,8870,8030,4969,104901,22638,5319243
2257,105563,1,6779,3525,6085,139879,71897,4309654
3274,62925,1,8147,14517,3787,107971,35004,6048894
2022,147863,0,5905,14643,5348,101950,76795,3347230
1745,52295,1,7131,8567,8975,159980,63092,3215217
1912,138117,0,18201,6595,8358,59858,48901,3448314
1916,58253,0,16115,9445,5872,83714,26694,2313930
857,135347,0,15039,7599,7126,181694,87466,1844130
3965,103457,0,11947,14307,6171,60367,63871,6250670
4635,76853,0,13498,6310,5510,166849,29370,6687735
3449,47189,0,8516,10935,4581,51760,81719,4556428
3641,121417,0,16922,12733,3902,138209,38212,6295059
3376,73154,0,9432,4165,7912,63175,51552,4148368
696,135539,1,10991,8704,3406,180004,94527,1793512
2374,112423,0,13708,11846,3988,141987,71764,3137562
1437,119646,1,5100,13699,5600,119785,86688,2996332
2694,35183,0,11060,7569,5947,88879,74940,5119699
4030,49023,0,7147,7778,5142,60743,91864,8038503
4625,38957,0,7220,13993,9737,150917,34942,7023487
889,46620,0,18743,5811,8228,172456,99885,1297360
3426,34491,0,18419,5469,3158,87536,42596,5939407
846,138500,1,16021,2262,5094,180104,31965,1559044
3344,68728,0,15100,6431,9499,131529,62581,3947945
618,94650,1,5027,14809,8649,90816,74834,1535648
1738,64567,0,9852,13925,7297,60632,77868,2215004
3280,33387,1,8336,5801,8382,121396,97565,5315764
2627,46025,1,7362,11208,5597,78244,73579,5020434
2966,148687,1,9133,2983,6756,57376,70792,3952239
1083,31446,0,8676,9671,6099,113503,90275,2313726
3259,128435,1,16416,3559,4041,165453,78405,4835951
2208,134673,1,7375,4702,6038,151708,66589,3554374
3204,133896,0,5047,12455,6061,151870,42147,3976781
1171,56610,0,12058,14521,4032,56725,75965,2145573
2271,66981,0,16905,7686,3874,161332,43616,3696257
2185,59309,1,13197,9521,4341,173612,27868,4701388
2577,89388,0,10533,6497,4919,74123,44990,4607045
2985,128166,0,13961,7802,7135,133292,72208,5613154
2196,60434,1,12602,8628,8592,110244,20433,2954122
4101,140930,0,6362,10581,7708,173775,47926,7411357
4658,64226,0,8340,6268,3057,147320,49645,7533199
1953,100834,0,5816,6048,6009,91956,83927,3036275
3706,48406,0,17020,2506,8828,97255,35459,6816009
4752,64716,1,5007,8287,9761,95904,20289,9706021
3490,52989,0,9872,14214,9493,151832,35854,4095041
2801,72580,1,17950,2246,4298,150445,93445,5451643
3758,75731,0,7532,13703,8837,86230,33992,7439429
1850,107541,1,7759,8684,6610,116788,26953,2807428
4601,36861,1,5328,9552,5333,51520,37217,6517075
4449,70039,0,18711,13899,5092,158626,47283,8298591
1779,40353,0,17687,14972,3973,62011,29381,3643906
1320,136171,0,9875,13628,5462,130327,40260,2895098
1843,45630,1,15104,13801,5083,195453,46404,2366994
2795,94050,1,18706,13860,8030,197917,75307,5738511
503,89101,0,7385,14849,8425,184706,78331,1180783
3060,100254,1,8980,12737,8981,177707,31655,4788961
3053,132454,0,7466,4714,9181,188182,60412,6036824
530,46907,0,10329,8755,5286,76501,44468,1146475
2152,130785,0,16229,11634,5954,89709,27087,3529516
1798,34484,0,6194,4639,4872,179124,76943,2842731
1385,53194,1,5100,8684,8705,159199,97522,2471779
1700,53886,0,7461,6157,7879,160826,49576,2526991
3858,38537,1,11715,3918,4482,129734,71030,6842864
2479,130616,0,5322,7921,5214,133256,93180,5065860
4538,53399,0,17316,2943,6834,83728,77541,5916530
2626,119191,1,12832,10308,6931,122508,90961,5256514
2790,121810,1,8649,4557,4236,129632,77276,4242636
4394,128444,0,9846,11415,7827,138308,58189,5327285
704,36892,0,16268,8698,4015,68679,49649,916709
1983,70544,1,10755,2988,5806,177990,83010,3384666
3270,137617,1,5606,9936,4686,160854,44774,5591858
4928,49267,1,13708,8693,9464,188402,27977,5355244
3150,70396,0,14300,10155,3956,172488,93652,5570721
4761,141561,0,9335,13014,4205,193194,51029,7642056
2708,143204,0,18360,6279,4676,98669,78047,5758237
505,61340,0,19361,5567,3967,124210,85994,858219
1031,127672,1,5838,9160,8202,150559,62920,2222225
2592,135765,1,19749,11928,7759,139655,86314,3655717
726,137478,1,6121,5113,5151,185303,66718,1381688
2599,73404,1,18723,12178,4658,125208,68748,3050569
1396,66228,1,8965,11515,6748,168092,47483,1814165
1820,81736,1,8341,10707,4752,188265,85530,2638984
3161,149421,0,19609,13231,7970,146828,63831,4116653
3059,122425,0,6336,13627,7377,70812,41882,3322796
2164,104884,1,6259,6214,6437,129185,71481,4140370
2025,45637,1,16472,5148,4961,175761,35531,3428448
4250,106760,0,12192,6887,9623,164200,83129,6316409
4154,76180,1,15053,4886,6307,171040,28011,4986638
3067,85699,0,5644,14178,9760,163286,36358,4405990
1596,96843,0,15420,9290,5492,159588,29963,2663656
3598,111172,1,5596,4481,5961,160428,33278,7609892
3740,107962,1,11389,4010,3066,119168,65663,6060900
3322,45580,0,7810,3425,4677,92005,70800,3611103
3427,140660,0,9536,9517,3447,199153,82601,4583844
4114,98388,1,11769,2667,9431,140198,81935,6016890
1347,81376,0,5467,7532,6779,173286,35292,2270864
4116,66212,1,14156,8472,8307,179053,95149,7362684
